Organization,Raw Grade Code,Normalized Grade Family,Normalized Seniority Tier,International / National / Local,Staff / Consultant / Contractor / Other,Approximate UN Equivalent,Approximate Experience Range,Typical Role Scope,Supervisory Expectations,Notes / Caveats,Confidence Level,Evidence Type
International Seabed Authority,G-3,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-3,3+ years,Administrative/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
International Seabed Authority,G-4,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-4,4+ years,Experienced assistant / specialized support,Usually none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
International Seabed Authority,G-5,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-5,5+ years,Senior assistant / para-professional support,May coordinate support tasks,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
International Seabed Authority,G-6,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-6,6+ years,Senior associate / complex support,May supervise support staff,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
International Seabed Authority,G-7,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-7,7+ years,Highest local GS specialist/support lead,Often supervises support functions,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
UN Tourism,P-1,UN International Professional,T1_ENTRY_SUPPORT,International,Staff,P-1,0-2 years,Entry professional analysis under close supervision,Normally none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
UN Tourism,P-2,UN International Professional,T2_JUNIOR_PROFESSIONAL,International,Staff,P-2,2-4 years,Junior professional/officer; defined portfolio,Normally none; may coordinate vendors/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
UN Tourism,P-3,UN International Professional,T3_MID_PROFESSIONAL,International,Staff,P-3,5-7 years,Independent professional ownership of workstream or project,May supervise junior staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
UN Tourism,P-4,UN International Professional,T4_SENIOR_PROFESSIONAL,International,Staff,P-4,7-10 years,"Senior specialist; complex programme, policy or technical leadership",Often supervises staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
UN Tourism,P-5,UN International Professional,T5_PRINCIPAL_MANAGER,International,Staff,P-5,10-15 years,Chief/principal specialist/section head,Frequently supervises teams and budgets,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
UN Tourism,D-1,UN Director,T6_DIRECTOR,International,Staff,D-1,15+ years,Director of division/large programme,Senior management responsibility,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
UN Tourism,D-2,UN Director,T6_DIRECTOR,International,Staff,D-2,15-20+ years,Senior director / head of major office,Institutional management responsibility,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
UN Tourism,NO-A,UN National Professional,T1_ENTRY_SUPPORT,National / Local,Staff,~P-1/P-2,0-2 years,Entry national professional requiring local/national expertise,Normally none,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",MEDIUM,official common-system / inferred P-equivalence
UN Tourism,NO-B,UN National Professional,T2_JUNIOR_PROFESSIONAL,National / Local,Staff,~P-2,2-4 years,National officer / junior professional,May coordinate local partners,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",MEDIUM,official common-system / inferred P-equivalence
UN Tourism,NO-C,UN National Professional,T3_MID_PROFESSIONAL,National / Local,Staff,~P-3,5-7 years,Experienced national professional managing workstreams,May supervise assistants/consultants,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",MEDIUM,official common-system / inferred P-equivalence
UN Tourism,NO-D,UN National Professional,T4_SENIOR_PROFESSIONAL,National / Local,Staff,~P-4,7-10+ years,Senior national officer / technical lead,Often supervises staff/partners,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",MEDIUM,official common-system / inferred P-equivalence
UN Tourism,G-1,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-1,0+ years,Routine support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
UN Tourism,G-2,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-2,2+ years,Basic clerical/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
UN Tourism,G-3,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-3,3+ years,Administrative/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
UN Tourism,G-4,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-4,4+ years,Experienced assistant / specialized support,Usually none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
UN Tourism,G-5,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-5,5+ years,Senior assistant / para-professional support,May coordinate support tasks,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
UN Tourism,G-6,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-6,6+ years,Senior associate / complex support,May supervise support staff,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
UN Tourism,G-7,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-7,7+ years,Highest local GS specialist/support lead,Often supervises support functions,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
International Training Centre of the ILO,P-1,UN International Professional,T1_ENTRY_SUPPORT,International,Staff,P-1,0-2 years,Entry professional analysis under close supervision,Normally none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
International Training Centre of the ILO,P-2,UN International Professional,T2_JUNIOR_PROFESSIONAL,International,Staff,P-2,2-4 years,Junior professional/officer; defined portfolio,Normally none; may coordinate vendors/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
International Training Centre of the ILO,P-3,UN International Professional,T3_MID_PROFESSIONAL,International,Staff,P-3,5-7 years,Independent professional ownership of workstream or project,May supervise junior staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
International Training Centre of the ILO,P-4,UN International Professional,T4_SENIOR_PROFESSIONAL,International,Staff,P-4,7-10 years,"Senior specialist; complex programme, policy or technical leadership",Often supervises staff/consultants,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
International Training Centre of the ILO,P-5,UN International Professional,T5_PRINCIPAL_MANAGER,International,Staff,P-5,10-15 years,Chief/principal specialist/section head,Frequently supervises teams and budgets,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
International Training Centre of the ILO,D-1,UN Director,T6_DIRECTOR,International,Staff,D-1,15+ years,Director of division/large programme,Senior management responsibility,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
International Training Centre of the ILO,D-2,UN Director,T6_DIRECTOR,International,Staff,D-2,15-20+ years,Senior director / head of major office,Institutional management responsibility,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy.,MEDIUM,official common-system / same-code mapping
International Training Centre of the ILO,NO-A,UN National Professional,T1_ENTRY_SUPPORT,National / Local,Staff,~P-1/P-2,0-2 years,Entry national professional requiring local/national expertise,Normally none,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",MEDIUM,official common-system / inferred P-equivalence
International Training Centre of the ILO,NO-B,UN National Professional,T2_JUNIOR_PROFESSIONAL,National / Local,Staff,~P-2,2-4 years,National officer / junior professional,May coordinate local partners,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",MEDIUM,official common-system / inferred P-equivalence
International Training Centre of the ILO,NO-C,UN National Professional,T3_MID_PROFESSIONAL,National / Local,Staff,~P-3,5-7 years,Experienced national professional managing workstreams,May supervise assistants/consultants,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",MEDIUM,official common-system / inferred P-equivalence
International Training Centre of the ILO,NO-D,UN National Professional,T4_SENIOR_PROFESSIONAL,National / Local,Staff,~P-4,7-10+ years,Senior national officer / technical lead,Often supervises staff/partners,"UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. National officer mappings are functional, not mobility/salary equivalent.",MEDIUM,official common-system / inferred P-equivalence
International Training Centre of the ILO,G-1,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-1,0+ years,Routine support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
International Training Centre of the ILO,G-2,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-2,2+ years,Basic clerical/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
International Training Centre of the ILO,G-3,UN General Service,T1_ENTRY_SUPPORT,Local,Staff,G-3,3+ years,Administrative/operational support,None,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
International Training Centre of the ILO,G-4,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-4,4+ years,Experienced assistant / specialized support,Usually none,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
International Training Centre of the ILO,G-5,UN General Service,T2_JUNIOR_PROFESSIONAL,Local,Staff,G-5,5+ years,Senior assistant / para-professional support,May coordinate support tasks,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
International Training Centre of the ILO,G-6,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-6,6+ years,Senior associate / complex support,May supervise support staff,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
International Training Centre of the ILO,G-7,UN General Service,T3_MID_PROFESSIONAL,Local,Staff,G-7,7+ years,Highest local GS specialist/support lead,Often supervises support functions,UN Common System or common-system-aligned grade code; actual categories used vary by agency and vacancy. General Service is support/local; do not map directly to P grades.,MEDIUM,official common-system / same-category mapping
UNDP,IPSA-8,UNDP IPSA International Personnel Services Agreement,T1_ENTRY_SUPPORT,International,Affiliate personnel / contractor,~P-1/P-2,0-2+ years,Time-limited services-based expert assignment,Depends on ToR; may supervise deliverables but not necessarily staff,IPSA holders are not UNDP staff; mapping is functional based on grade signal and ToR scope.,MEDIUM,official policy + UNTalent mapping/inference
UNDP,IPSA-9,UNDP IPSA International Personnel Services Agreement,T2_JUNIOR_PROFESSIONAL,International,Affiliate personnel / contractor,~P-2,2+ years,Time-limited services-based expert assignment,Depends on ToR; may supervise deliverables but not necessarily staff,IPSA holders are not UNDP staff; mapping is functional based on grade signal and ToR scope.,MEDIUM,official policy + UNTalent mapping/inference
UNDP,IPSA-10,UNDP IPSA International Personnel Services Agreement,T3_MID_PROFESSIONAL,International,Affiliate personnel / contractor,~P-3,5+ years,Time-limited services-based expert assignment,Depends on ToR; may supervise deliverables but not necessarily staff,IPSA holders are not UNDP staff; mapping is functional based on grade signal and ToR scope.,HIGH,official policy + UNTalent mapping/inference
UNDP,IPSA-11,UNDP IPSA International Personnel Services Agreement,T4_SENIOR_PROFESSIONAL,International,Affiliate personnel / contractor,~P-4,7+ years,Time-limited services-based expert assignment,Depends on ToR; may supervise deliverables but not necessarily staff,IPSA holders are not UNDP staff; mapping is functional based on grade signal and ToR scope.,MEDIUM,official policy + UNTalent mapping/inference
UNDP,IPSA-12,UNDP IPSA International Personnel Services Agreement,T5_PRINCIPAL_MANAGER,International,Affiliate personnel / contractor,~P-5,10+ years,Time-limited services-based expert assignment,Depends on ToR; may supervise deliverables but not necessarily staff,IPSA holders are not UNDP staff; mapping is functional based on grade signal and ToR scope.,MEDIUM,official policy + UNTalent mapping/inference
UNDP,IPSA-13,UNDP IPSA International Personnel Services Agreement,T6_DIRECTOR,International,Affiliate personnel / contractor,~D-1,15+ years,Time-limited services-based expert assignment,Depends on ToR; may supervise deliverables but not necessarily staff,IPSA holders are not UNDP staff; mapping is functional based on grade signal and ToR scope.,HIGH,official policy + UNTalent mapping/inference
UNDP,IPSA-14,UNDP IPSA International Personnel Services Agreement,T6_DIRECTOR,International,Affiliate personnel / contractor,~D-2,15-20+ years,Time-limited services-based expert assignment,Depends on ToR; may supervise deliverables but not necessarily staff,IPSA holders are not UNDP staff; mapping is functional based on grade signal and ToR scope.,MEDIUM,official policy + UNTalent mapping/inference
UNDP,NPSA-5..7,UNDP NPSA National Personnel Services Agreement,T2_JUNIOR_PROFESSIONAL,National / Local,Affiliate personnel / contractor,~G-5/G-7,varies,National services-based assignment,Depends on ToR,NPSA is not staff; local/national scope must be preserved.,MEDIUM,official policy + inferred
UNDP,NPSA-8,UNDP NPSA National Personnel Services Agreement,T2_JUNIOR_PROFESSIONAL,National / Local,Affiliate personnel / contractor,~NO-A/NO-B,2+ years,National services-based assignment,Depends on ToR,NPSA is not staff; local/national scope must be preserved.,MEDIUM,official policy + inferred
UNDP,NPSA-9,UNDP NPSA National Personnel Services Agreement,T3_MID_PROFESSIONAL,National / Local,Affiliate personnel / contractor,~NO-B/NO-C,3-5+ years,National services-based assignment,Depends on ToR,NPSA is not staff; local/national scope must be preserved.,MEDIUM,official policy + inferred
UNDP,NPSA-10,UNDP NPSA National Personnel Services Agreement,T3_MID_PROFESSIONAL,National / Local,Affiliate personnel / contractor,~NO-C/P-3,5+ years,National services-based assignment,Depends on ToR,NPSA is not staff; local/national scope must be preserved.,MEDIUM,official policy + inferred
UNDP,NPSA-11,UNDP NPSA National Personnel Services Agreement,T4_SENIOR_PROFESSIONAL,National / Local,Affiliate personnel / contractor,~NO-D/P-4,7+ years,National services-based assignment,Depends on ToR,NPSA is not staff; local/national scope must be preserved.,LOW,official policy + inferred
UNOPS,IICA-1,UNOPS IICA International Individual Contractor Agreement,T2_JUNIOR_PROFESSIONAL,International,Contractor,~P-2,2+ years,Individual contractor performing expert services,Depends on ToR; may lead deliverables,Functional seniority only; IICA is not a staff appointment.,HIGH,UNTalent mapping + inference
UNOPS,IICA-2,UNOPS IICA International Individual Contractor Agreement,T3_MID_PROFESSIONAL,International,Contractor,~P-3,5+ years,Individual contractor performing expert services,Depends on ToR; may lead deliverables,Functional seniority only; IICA is not a staff appointment.,HIGH,UNTalent mapping + inference
UNOPS,IICA-3,UNOPS IICA International Individual Contractor Agreement,T4_SENIOR_PROFESSIONAL,International,Contractor,~P-4/P-5,7-10+ years,Individual contractor performing expert services,Depends on ToR; may lead deliverables,Functional seniority only; IICA is not a staff appointment.,MEDIUM,UNTalent mapping + inference
UNOPS,IICA-4,UNOPS IICA International Individual Contractor Agreement,T5_PRINCIPAL_MANAGER,International,Contractor,~P-5/D-1,10-15+ years,Individual contractor performing expert services,Depends on ToR; may lead deliverables,Functional seniority only; IICA is not a staff appointment.,LOW,UNTalent mapping + inference
UNOPS,LICA-1..7,UNOPS LICA Local Individual Contractor Agreement,T1_ENTRY_SUPPORT,Local / National,Contractor,~G-1/G-7,varies,Local individual contractor,Depends on ToR,Local contractor; preserve local recruitment and non-staff status.,MEDIUM,contract family inference
UNOPS,LICA-8,UNOPS LICA Local Individual Contractor Agreement,T2_JUNIOR_PROFESSIONAL,Local / National,Contractor,~NO-A/NO-B,2+ years,Local individual contractor,Depends on ToR,Local contractor; preserve local recruitment and non-staff status.,MEDIUM,contract family inference
UNOPS,LICA-9,UNOPS LICA Local Individual Contractor Agreement,T3_MID_PROFESSIONAL,Local / National,Contractor,~NO-B/NO-C,3-5+ years,Local individual contractor,Depends on ToR,Local contractor; preserve local recruitment and non-staff status.,MEDIUM,contract family inference
UNOPS,LICA-10,UNOPS LICA Local Individual Contractor Agreement,T3_MID_PROFESSIONAL,Local / National,Contractor,~NO-C/P-3,5+ years,Local individual contractor,Depends on ToR,Local contractor; preserve local recruitment and non-staff status.,LOW,contract family inference
World Food Programme,CST I/II/III,WFP Consultant / SSA / Service Contract,T3_MID_PROFESSIONAL,International or Local depending modality,Consultant / contractor,~P-3 to P-5 depending ToR,specialist; varies,Non-staff or local contract delivery role,Depends on ToR,"WFP explicitly distinguishes international consultants, service contracts and SSAs from staff categories.",MEDIUM,official WFP contract-type policy + inference
World Food Programme,SSA1..SSA7,WFP Consultant / SSA / Service Contract,T1_ENTRY_SUPPORT,International or Local depending modality,Consultant / contractor,~G-1/G-7,short-term; varies,Non-staff or local contract delivery role,Depends on ToR,"WFP explicitly distinguishes international consultants, service contracts and SSAs from staff categories.",MEDIUM,official WFP contract-type policy + inference
World Food Programme,SSA8..SSA10,WFP Consultant / SSA / Service Contract,T3_MID_PROFESSIONAL,International or Local depending modality,Consultant / contractor,~NO/P professional short-term,short-term; varies,Non-staff or local contract delivery role,Depends on ToR,"WFP explicitly distinguishes international consultants, service contracts and SSAs from staff categories.",MEDIUM,official WFP contract-type policy + inference
World Food Programme,SC-1..SC-7,WFP Consultant / SSA / Service Contract,T1_ENTRY_SUPPORT,International or Local depending modality,Consultant / contractor,~G-1/G-7,local service contract; varies,Non-staff or local contract delivery role,Depends on ToR,"WFP explicitly distinguishes international consultants, service contracts and SSAs from staff categories.",MEDIUM,official WFP contract-type policy + inference
World Food Programme,SC-8..SC-10,WFP Consultant / SSA / Service Contract,T2_JUNIOR_PROFESSIONAL,International or Local depending modality,Consultant / contractor,~NO-A/NO-C,local service contract; varies,Non-staff or local contract delivery role,Depends on ToR,"WFP explicitly distinguishes international consultants, service contracts and SSAs from staff categories.",MEDIUM,official WFP contract-type policy + inference
UN Young Professionals Programme,YPP,UN Entry Pathway - Young Professionals Programme,T2_JUNIOR_PROFESSIONAL,External international entry pathway,Staff appointment pathway / competitive examination,P-2,0-2 years; YPP may waive work-experience requirement for eligible candidates,Competitive-exam entry route to junior international professional roles; roster/placement pathway,Normally none,Revised rule: normalize YPP as P-2-equivalent rather than T0. Caveat: some official UN pathway materials describe YPP entry placements as P-1/P-2; current pipeline should use P-2 as the operational anchor and preserve the pathway flag. Sources: UNOG pathways leaflet; UN Careers YPP vacancy patterns.,MEDIUM,official UN pathway materials + operational normalization rule
UN JPO Programme,JPO,UN Entry Pathway - Junior Professional Officer,T2_JUNIOR_PROFESSIONAL,External international entry pathway,Staff / sponsored fixed-term entry pathway; external candidate for regular posts,P-2,Usually 2+ years; varies by donor and vacancy,Sponsored junior professional officer assignment under bilateral donor arrangement,Normally none; works under supervision,DESA states JPO positions are generally at P2 level. JPOs are recruited under donor agreements and there is no expectation of conversion to a regular staff position; when applying for regular UN posts they apply as external candidates through the regular competitive process. Source: https://jpo.desa.un.org/about,HIGH,official DESA JPO guidance / direct P2 statement
UN system internships,Internship / Intern,UN Internship / External Pathway,T0_PATHWAY_OUTSIDE_SYSTEM,External pathway,Internship / other; outside formal staff grade system,Outside grade system; no P/G equivalent,Student or recent graduate; no professional grade seniority,Learning/exposure pathway; practical work under supervision,None,Interns are outside the grade system and should not be normalized to P-1/P-2. Keep as external pathway only. UNFPA lists interns among opportunities that are not necessarily staff positions; UNOG pathways material lists internships under “Other”. Sources: UNFPA staff categories; UNOG pathways leaflet.,HIGH,official UN-system staff-category/pathway guidance
United Nations Volunteers,UNV Community,UN Volunteer Assignment Category - Outside Staff Grade System,T0_PATHWAY_OUTSIDE_SYSTEM,External national/local volunteer pathway,Volunteer / other; not staff,Outside grade system; below P-equivalent,0+ experience under 2026 categories,Community volunteer assignment; pathway/exposure or local contribution,None/limited,UN Volunteers are not UN staff members and are outside the staff grade system. Store as external volunteer pathway; do not use as P/G grade. Source: UNV Conditions of Service 2026.,HIGH,official UNV Conditions of Service
United Nations Volunteers,UNV Associate,UN Volunteer Assignment Category - Outside Staff Grade System,T0_PATHWAY_OUTSIDE_SYSTEM,External national or international volunteer pathway,Volunteer / other; not staff,Outside grade system; functional entry/assistant only,1+ month experience under 2026 categories,Associate volunteer assignment; limited-scope support or early professional exposure,Normally none,UNV Associate remains outside the formal grade system. Use only as an external volunteer/pathway signal unless the Description of Assignment provides stronger evidence.,HIGH,official UNV Conditions of Service
United Nations Volunteers,International UNV Specialist,UN Volunteer Assignment Category - Outside Staff Grade System,T2_JUNIOR_PROFESSIONAL,External international volunteer pathway,Volunteer / other; not staff,~P-2 functional only,3+ years under 2026 UNV categories,Specialist volunteer assignment with substantive technical contribution,Usually none; may coordinate tasks or partners,"Revised rule: International UN Volunteer Specialist may be treated as P-2 functional seniority for matching, but remains outside the staff grade system and is not a staff appointment. UNV states volunteers are not UN staff members. Source: UNV Conditions of Service 2026.",MEDIUM,official UNV category + inferred functional equivalence
United Nations Volunteers,International UNV Expert,UN Volunteer Assignment Category - Outside Staff Grade System,T3_MID_PROFESSIONAL,External international volunteer pathway,Volunteer / other; not staff,~P-3 functional only,7+ years under 2026 UNV categories,Expert volunteer assignment; experienced substantive advisory or technical delivery,May coordinate or advise; supervisory authority depends on host entity and assignment,"Revised rule: International UN Volunteer Expert may be treated as P-3 functional seniority for matching, but remains outside the staff grade system and is not a staff appointment. Some assignments may look more senior by years of experience; do not auto-upgrade without ToR evidence. Source: UNV Conditions of Service 2026.",MEDIUM,official UNV category + inferred functional equivalence
United Nations Volunteers,National UNV Specialist,UN Volunteer Assignment Category - Outside Staff Grade System,T2_JUNIOR_PROFESSIONAL,External national/local volunteer pathway,Volunteer / other; not staff,~NO-B / P-2 functional only,3+ years under 2026 UNV categories,National specialist volunteer assignment requiring local/national context,Usually none; may coordinate tasks or partners,Outside staff grade system. Use national/local flag; do not treat as internationally recruited P-grade.,MEDIUM,official UNV category + inferred functional equivalence
United Nations Volunteers,National UNV Expert,UN Volunteer Assignment Category - Outside Staff Grade System,T3_MID_PROFESSIONAL,External national/local volunteer pathway,Volunteer / other; not staff,~NO-C / P-3 functional only,7+ years under 2026 UNV categories,National expert volunteer assignment with experienced substantive delivery/advisory scope,May coordinate or advise; supervisory authority depends on host entity and assignment,Outside staff grade system. Use national/local flag; do not treat as internationally recruited P-grade.,MEDIUM,official UNV category + inferred functional equivalence
World Bank Group,GA,WBG GA,T1_ENTRY_SUPPORT,Local/International depending duty station,Staff,~G-1/G-2,entry support,Office assistant / basic support,None,official grade-title; UN equivalence inferred,MEDIUM,official/inferred
World Bank Group,GB,WBG GB,T1_ENTRY_SUPPORT,Local/International depending duty station,Staff,~G-3,support,Team assistant / information technician,None,official grade-title; UN equivalence inferred,MEDIUM,official/inferred
World Bank Group,GC,WBG GC,T1_ENTRY_SUPPORT,Local/International depending duty station,Staff,~G-4/G-5,support,Program assistant / information assistant,Limited,official grade-title; UN equivalence inferred,MEDIUM,official/inferred
World Bank Group,GD,WBG GD,T2_JUNIOR_PROFESSIONAL,Local/International depending duty station,Staff,~G-6/G-7,senior support,Senior program assistant / info specialist,May coordinate,official grade-title; UN equivalence inferred,MEDIUM,official/inferred
World Bank Group,GE,WBG GE,T2_JUNIOR_PROFESSIONAL,International / global professional,Staff,~P-1/P-2,early professional,Analyst / junior specialist,Usually none,official grade-title; UN equivalence inferred,MEDIUM,official/inferred
World Bank Group,GF,WBG GF,T3_MID_PROFESSIONAL,International / global professional,Staff,~P-2/P-3,professional,Professional / specialist,May supervise consultants,official grade-title; UN equivalence inferred,MEDIUM,official/inferred
World Bank Group,GG,WBG GG,T4_SENIOR_PROFESSIONAL,International / global professional,Staff,~P-4,senior professional,Senior professional / senior specialist,Often technical lead,official grade-title; UN equivalence inferred,MEDIUM,official/inferred
World Bank Group,GH,WBG GH,T5_PRINCIPAL_MANAGER,International / global professional,Staff,~P-5,manager/lead,Manager or lead professional,Often manager/team lead,official grade-title; UN equivalence inferred,MEDIUM,official/inferred
World Bank Group,GI,WBG GI,T6_DIRECTOR,International / global professional,Staff,~D-1,director,Director / senior advisor,Director-level,official grade-title; UN equivalence inferred,MEDIUM,official/inferred
World Bank Group,GJ,WBG GJ,T7_EXECUTIVE,International / executive,Staff,~D-2/ASG,VP,Vice President,Executive,official grade-title; UN equivalence inferred,MEDIUM,official/inferred
World Bank Group,GK,WBG GK,T7_EXECUTIVE,International / executive,Staff,~USG/Executive,MD/EVP/SVP,Managing Director / EVP / SVP,Executive,official grade-title; UN equivalence inferred,MEDIUM,official/inferred
World Bank Group,ETC / STC / ETT,WBG Extended/Short-Term Consultant or Temporary,T2_JUNIOR_PROFESSIONAL,International or local depending posting,Consultant / temporary,title/level dependent; often ~P-1 to P-4,varies,"Term-limited assignment performing analyst, specialist or support functions",Depends on ToR,"World Bank consultant categories are administrative status; level must be inferred from title, grade where shown, and ToR.",LOW,vacancy-pattern inference
International Monetary Fund,A01..A08,IMF A/B Grade Structure,T1_ENTRY_SUPPORT,International / institutional,Staff,~G-1/G-7,support; varies,Support staff ladder,varies,"IMF is outside the UN Common System; mapping is inferred from job-title architecture, not official UN equivalence.",MEDIUM,official annual report table + inference
International Monetary Fund,A09..A10,IMF A/B Grade Structure,T2_JUNIOR_PROFESSIONAL,International / institutional,Staff,~P-1/P-2,early professional,Research/analyst/specialist entry professional,limited,"IMF is outside the UN Common System; mapping is inferred from job-title architecture, not official UN equivalence.",MEDIUM,official annual report table + inference
International Monetary Fund,A11,IMF A/B Grade Structure,T3_MID_PROFESSIONAL,International / institutional,Staff,~P-3,PhD economist entry / experienced specialist,"Economist, counsel, specialist",limited,"IMF is outside the UN Common System; mapping is inferred from job-title architecture, not official UN equivalence.",MEDIUM,official annual report table + inference
International Monetary Fund,A12..A13,IMF A/B Grade Structure,T4_SENIOR_PROFESSIONAL,International / institutional,Staff,~P-3/P-4,experienced professional,Economist/specialist/senior professional,may supervise projects,"IMF is outside the UN Common System; mapping is inferred from job-title architecture, not official UN equivalence.",MEDIUM,official annual report table + inference
International Monetary Fund,A14,IMF A/B Grade Structure,T5_PRINCIPAL_MANAGER,International / institutional,Staff,~P-5,senior economist/deputy division chief,Senior economist / Deputy Division Chief / Resident Representative,often supervisory,"IMF is outside the UN Common System; mapping is inferred from job-title architecture, not official UN equivalence.",MEDIUM,official annual report table + inference
